id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
11428,PURSLANE,"PURSLANE,CKD,BLD,DRND,WO/SALT",3.5,18,1.5,0.2,64.22018348623853,27.522935779816518,8.256880733944955,PURSLANE,other,5.40000000000002
11429,RADISHES,"RADISHES,RAW",3.4,16,0.7,0.1,78.61271676300579,16.184971098265898,5.202312138728325,RADISHES,vegetables,4.3000000000000185
11430,RADISHES,"RADISHES,ORIENTAL,RAW",4.1,18,0.6,0.1,83.24873096446701,12.18274111675127,4.568527918781727,RADISHES,vegetables,4.900000000000013
11431,RADISHES,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",3.4,17,0.7,0.2,74.72527472527473,15.384615384615383,9.89010989010989,RADISHES,vegetables,4.500000000000014
11432,RADISHES,"RADISHES,ORIENTAL,DRIED",63.4,271,7.9,0.7,86.99828473413379,10.84048027444254,2.1612349914236706,RADISHES,vegetables,72.69999999999999
11435,RUTABAGAS,"RUTABAGAS,RAW",8.1,36,1.2,0.2,83.0769230769231,12.30769230769231,4.615384615384617,RUTABAGAS,vegetables,9.70000000000001
11436,RUTABAGAS,"RUTABAGAS,CKD,BLD,DRND,WO/SALT",8.7,39,1.3,0.2,83.25358851674642,12.44019138755981,4.30622009569378,RUTABAGAS,vegetables,10.400000000000013
11437,SALSIFY,"SALSIFY,(VEG OYSTER),RAW",18.6,82,3.3,0.2,83.22147651006712,14.765100671140935,2.013422818791946,SALSIFY,other,22.300000000000008
11438,SALSIFY,"SALSIFY,CKD,BLD,DRND,WO/SALT",15.4,68,2.7,0.2,83.01886792452831,14.555256064690028,2.4258760107816717,SALSIFY,other,18.50000000000001
11439,SAUERKRAUT,"SAUERKRAUT,CND,SOL&LIQUIDS",4.3,19,0.9,0.1,79.26267281105991,16.589861751152075,4.147465437788019,SAUERKRAUT,other,5.400000000000013
11442,SEAWEED,"SEAWEED,AGAR,RAW",6.8,26,0.5,0.0,93.15068493150685,6.849315068493151,0.0,SEAWEED,other,7.3000000000000185
11444,SEAWEED,"SEAWEED,IRISHMOSS,RAW",12.3,49,1.5,0.2,86.31578947368422,10.526315789473683,3.1578947368421053,SEAWEED,other,14.20000000000001
11445,SEAWEED,"SEAWEED,KELP,RAW",9.6,43,1.7,0.6,75.88932806324111,13.438735177865611,10.67193675889328,SEAWEED,other,12.500000000000007
11446,SEAWEED,"SEAWEED,LAVER,RAW",5.1,35,5.8,0.3,44.06047516198704,50.10799136069115,5.8315334773218135,SEAWEED,other,11.500000000000014
11447,SESBANIA FLOWER,"SESBANIA FLOWER,RAW",6.7,27,1.3,0.0,83.75,16.25,0.0,SESBANIA FLOWER,other,8.000000000000007
11448,SESBANIA FLOWER,"SESBANIA FLOWER,CKD,STMD,WO/SALT",5.2,22,1.1,0.1,79.6934865900383,16.85823754789272,3.4482758620689653,SESBANIA FLOWER,other,6.500000000000007
11450,SOYBEANS,"SOYBEANS,GREEN,RAW",11.1,147,12.9,6.8,28.24427480916031,32.82442748091604,38.93129770992366,SOYBEANS,legumes,37.60000000000001
11451,SOYBEANS,"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",11.1,141,12.3,6.4,29.365079365079367,32.539682539682545,38.0952380952381,SOYBEANS,legumes,36.2
11452,SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",9.6,122,13.1,6.7,25.413633355393777,34.67902051621443,39.907346128391794,SOYBEANS,legumes,36.10000000000001
11453,SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",6.5,81,8.5,4.5,25.870646766169152,33.83084577114428,40.298507462686565,SOYBEANS,legumes,24.00000000000001
11454,SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",9.4,125,13.1,7.1,24.431448992852506,34.04808317089019,41.52046783625731,SOYBEANS,legumes,36.70000000000001
11457,SPINACH,"SPINACH,RAW",3.6,23,2.9,0.4,48.648648648648646,39.18918918918919,12.16216216216216,SPINACH,vegetables,7.300000000000011
11458,SPINACH,"SPINACH,CKD,BLD,DRND,WO/ SALT",3.8,23,3.0,0.3,50.836120401337794,40.13377926421405,9.03010033444816,SPINACH,vegetables,7.400000000000013
11459,SPINACH,"SPINACH,CND,REG PK,SOL&LIQUIDS",2.9,19,2.1,0.4,49.15254237288135,35.59322033898305,15.254237288135592,SPINACH,vegetables,5.800000000000004
11461,SPINACH,"SPINACH,CND,DRND SOL",3.4,23,2.8,0.5,46.41638225255973,38.225255972696246,15.358361774744028,SPINACH,vegetables,7.20000000000001
11463,SPINACH,"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",4.2,29,3.6,0.6,45.90163934426229,39.34426229508197,14.754098360655735,SPINACH,vegetables,9.000000000000007
