id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,nutritional_score
1123,EGG,"EGG,WHOLE,RAW,FRESH",0.8,143,12.6,9.9,0.0,0.769999981,2.242466713384723,35.318850735809384,62.43868255080588,eggs,70.43647589777575
1171,EGG,"EGG,WHOLE,RAW,FROZEN",1.1,148,11.9,10.2,0.0,0.0,3.05980528511822,33.101529902642554,63.83866481223921,eggs,69.9294176417157
1140,EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",0.4,158,13.1,11.1,0.0,0.409999996,1.039636127355426,34.048083170890195,64.91228070175438,eggs,69.31689127932815
1141,EGG,"EGG,TURKEY,WHL,FRSH,RAW",1.1,171,13.7,11.9,0.0,0.0,2.6458208057727,32.952495490078164,64.40168370414912,eggs,68.52588041027525
1130,EGG,"EGG,WHOLE,COOKED,OMELET",0.7,157,10.6,12.0,0.0,0.649999976,1.827676240208877,27.676240208877285,70.49608355091385,eggs,67.86467646415875
1142,EGG,"EGG SUBSTITUTE,FROZEN",3.2,160,11.3,11.1,0.0,3.200000048,8.106396453451554,28.625712476250797,63.26789107029766,eggs,67.14668195528468
1132,EGG,"EGG,WHL,CKD,SCRMBLD",2.2,167,11.1,12.2,0.0,1.730000019,5.39877300613497,27.23926380368098,67.36196319018404,eggs,66.8099952901422
1139,EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",1.4,185,13.9,13.3,0.0,0.939999998,3.0956329463792147,30.735212824765064,66.16915422885572,eggs,66.76537417280574
1138,EGG,"EGG,DUCK,WHOLE,FRESH,RAW",1.4,185,12.8,13.8,0.0,0.930000007,3.0939226519337013,28.28729281767956,68.61878453038675,eggs,66.11228314527655
1128,EGG,"EGG,WHL,CKD,FRIED",0.9,196,13.6,15.3,0.0,0.829999983,1.839550332141032,27.797649463464484,70.36280020439449,eggs,65.28476409370035
1144,EGG,"EGG SUBSTITUTE,POWDER",21.8,444,55.5,13.0,0.0,21.79999924,20.459877991553263,52.08822149225716,27.451900516189585,eggs,57.613987214015104
1160,EGG,"EGG,YOLK,RAW,FRZ,SALTED",1.6,274,14.0,23.0,0.0,0.0,2.3756495916852267,20.786933927245737,76.83741648106906,eggs,57.61398690572369
21307,EGG,"Egg, Cheese and Bacon Griddle Cake Sandwich",26.2,272,12.0,13.2,0.800000012,9.56000042,38.586156111929306,17.67304860088365,43.740795287187034,eggs,55.8291417089388
1126,EGG,"EGG,YOLK,RAW,FROZEN",1.1,303,15.5,25.6,0.0,0.50999999,1.482479784366577,20.889487870619945,77.62803234501348,eggs,55.15171205577912
1127,EGG,"EGG,YOLK,RAW,FRZ,SUGARED",10.8,307,13.8,22.8,0.0,0.0,14.229249011857709,18.181818181818183,67.58893280632411,eggs,54.88804176257922
11209,EGGPLANT,"EGGPLANT,RAW",5.7,24,1.0,0.2,3.400000095,2.349999905,79.72027972027972,13.986013986013983,6.293706293706293,vegetables,78.37092346048729
11783,EGGPLANT,"EGGPLANT,CKD,BLD,DRND,W/SALT",8.1,33,0.8,0.2,2.5,3.200000048,86.63101604278076,8.556149732620321,4.812834224598931,vegetables,76.61447356852756
11210,EGGPLANT,"EGGPLANT,CKD,BLD,DRND,WO/SALT",8.7,35,0.8,0.2,2.5,3.200000048,87.43718592964824,8.040201005025127,4.522613065326634,vegetables,76.45221492905466
43146,EGGPLANT,"EGGPLANT,PICKLED",9.8,49,0.9,0.7,2.5,4.800000191,79.83706720977597,7.331975560081466,12.830957230142564,vegetables,74.59435344908266
9088,ELDERBERRIES,"ELDERBERRIES,RAW",18.4,73,0.7,0.5,7.0,0.0,90.97651421508036,3.4610630407911,5.562422744128554,fruits,77.46633144523125
11213,ENDIVE,"ENDIVE,RAW",3.4,17,1.2,0.2,3.099999905,0.25,67.32673267326733,23.76237623762376,8.910891089108912,vegetables,79.69333121033831
18266,ENGLISH MUFFINS,"ENGLISH MUFFINS,WHOLE-WHEAT",40.4,203,8.8,2.1,6.699999809,8.090000153,74.91886879925822,16.318961520630506,8.762169680111267,bakedGoods,66.99659254721378
18264,ENGLISH MUFFINS,"ENGLISH MUFFINS,WHEAT",44.8,223,8.7,2.0,4.599999905,1.559999943,77.24137931034483,15.0,7.758620689655173,bakedGoods,66.63556722187971
18267,ENGLISH MUFFINS,"ENGLISH MUFFINS,WHOLE-WHEAT,TSTD",44.1,221,9.6,2.3,7.300000191,8.789999962,74.90445859872612,16.305732484076433,8.789808917197451,bakedGoods,65.98247637591794
