category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,carb_percentage,fat_percentage,protein_percentage,nutritional_score,original_category
APPLE JUC,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",11.5,0.1,0.1,47,approvato,fruits,97.25158562367864,1.9027484143763207,0.8456659619450317,70.46892749286165,APPLE JUC
APPLE JUC,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",41.0,0.5,0.4,166,approvato,fruits,96.69811320754718,2.1226415094339623,1.179245283018868,49.81340207462566,APPLE JUC
APPLES,"APPLES,FRZ,UNSWTND,HTD",12.0,0.3,0.3,47,approvato,fruits,92.48554913294797,5.202312138728322,2.312138728323699,76.11958472202946,APPLES
APPLES,"APPLES,FRZ,UNSWTND,UNHTD",12.3,0.3,0.3,48,approvato,fruits,92.6553672316384,5.084745762711863,2.259887005649717,76.03845540229302,APPLES
APPLES,"APPLES,DEHYD (LO MOIST),SULFURED,STWD",19.9,0.3,0.1,74,approvato,fruits,97.42962056303548,1.1015911872705018,1.4687882496940023,74.43209482543,APPLES
STRAWBERRIES,"STRAWBERRIES,RAW",7.7,0.7,0.3,32,approvato,fruits,84.84848484848484,7.438016528925619,7.713498622589531,75.61252654361017,STRAWBERRIES
STRAWBERRIES,"STRAWBERRIES,FRZ,UNSWTND",9.1,0.4,0.1,35,approvato,fruits,93.573264781491,2.31362467866324,4.113110539845759,75.47055014117832,STRAWBERRIES
STRAWBERRIES,"STRAWBERRIES,FRZ,SWTND,WHL",21.0,0.5,0.1,78,approvato,fruits,96.66283084004604,1.0356731875719216,2.3014959723820483,66.20152513680492,STRAWBERRIES
CELERY,"CELERY,RAW",3.0,0.7,0.2,16,approvato,vegetables,72.28915662650601,10.843373493975902,16.867469879518072,77.91659916790253,CELERY
CELERY,"CELERY,CKD,BLD,DRND,WO/SALT",4.0,0.8,0.2,18,approvato,vegetables,76.19047619047619,8.571428571428571,15.23809523809524,77.58396902066963,CELERY
MULBERRIES,"MULBERRIES,RAW",9.8,1.4,0.4,43,approvato,fruits,80.99173553719008,7.438016528925619,11.570247933884296,73.53967224658972,MULBERRIES
BREAD,"BREAD,RED-CAL,WHEAT",43.6,9.1,2.3,198,approvato,bakedGoods,75.33477321814254,8.941684665226783,15.723542116630668,72.97582362499745,BREAD
BREAD,"BREAD,REDUCED-CALORIE,RYE",40.5,9.1,2.9,203,approvato,bakedGoods,72.16035634743875,11.625835189309576,16.21380846325167,72.74054858599801,BREAD
BREAD,"BREAD,RED-CAL,OAT BRAN",41.3,8.0,3.2,201,approvato,bakedGoods,73.09734513274336,12.743362831858407,14.15929203539823,71.79539200336117,BREAD
THURINGER,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",3.3,17.4,30.4,362,approvato,meats,3.7037037037037033,76.76767676767676,19.52861952861953,49.98377437477573,THURINGER
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",54.9,4.8,35.5,545,approvato,dairy,39.33369156367544,57.22729715206879,3.4390112842557765,5.8453675478577125,CREAM SUBSTITUTE
