id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
8025,CEREALS RTE,"CEREALS RTE,RALSTON CRISPY RICE",86.2,364,6.7,1.3,89.95564831724498,6.991912340203496,3.0524393425515264,CEREALS RTE,cereals,
8026,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEATIES RAISIN BRAN",81.0,333,7.0,1.7,88.21127144023959,7.623196297304656,4.165532262455758,CEREALS RTE,cereals,
8029,CEREALS RTE,"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",80.4,320,9.4,2.2,84.85488126649075,9.92084432717678,5.224274406332453,CEREALS RTE,cereals,
8030,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",87.5,393,3.4,4.1,87.39076154806492,3.3957553058676657,9.213483146067416,CEREALS RTE,cereals,
8031,CEREALS RTE,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,ORIGINAL",82.0,343,9.0,1.6,86.68076109936575,9.513742071881609,3.8054968287526414,CEREALS RTE,cereals,
8032,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",89.0,384,5.0,0.9,92.68419682374382,5.206977349648529,2.1088258266076543,CEREALS RTE,cereals,
8034,CEREALS RTE,"CEREALS RTE,RICE,PUFFED,PRESWEETENED,FRUIT FLAV,SINGLE BRAND",87.9,401,3.6,3.9,87.65893792071803,3.590127150336574,8.7509349289454,CEREALS RTE,cereals,
8035,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",86.5,400,3.3,3.3,88.96888660323992,3.394188737464644,7.636924659295449,CEREALS RTE,cereals,
8038,CEREALS RTE,"CEREALS RTE,KRAFT,POST GRAPE-NUTS CRL",80.1,359,12.5,1.9,82.68387096774194,12.903225806451612,4.412903225806451,CEREALS RTE,cereals,
8039,CEREALS RTE,"CEREALS RTE,WHEAT&MALT BARLEY FLAKES",81.5,365,10.0,2.9,83.14205559806172,10.2014792144861,6.656465187452179,CEREALS RTE,cereals,
8046,CEREALS RTE,"CEREALS RTE,CORN&OAT FLOURS,PUFFED PRESWEETENED,SINGLE BRAND",88.9,395,5.2,2.1,89.95699468757905,5.261826460915761,4.781178851505186,CEREALS RTE,cereals,
8047,CEREALS RTE,"CEREALS RTE,QUAKER,KING VITAMAN",85.0,386,6.5,3.5,85.53459119496856,6.540880503144654,7.924528301886792,CEREALS RTE,cereals,
8048,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,KIX",82.8,367,7.7,3.5,84.1677255400254,7.827191867852605,8.005082592121983,CEREALS RTE,cereals,
8050,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",82.9,407,7.0,3.6,84.59183673469389,7.142857142857142,8.26530612244898,CEREALS RTE,cereals,
8057,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",86.0,400,6.7,1.7,89.09608909608909,6.941206941206941,3.962703962703962,CEREALS RTE,cereals,
8058,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",83.0,333,7.7,1.4,88.43899840170484,8.20458177943527,3.356419818859882,CEREALS RTE,cereals,
